Modulator	TF	significantTriplets	pvalue
Ajuba	Nfkb1	1007	0.0
Ajuba	Tcf3	901	0.0
Ajuba	Tgif1	176	5.1770141729079455E-8
Ajuba	Zfp36l1	352	0.0
Akap1	Tcf3	141	0.008350802592771323
Akap1	Zfp36l1	255	0.0
Akap12	Nfkb1	619	0.0
Akap12	Psmc3ip	231	0.0
Akap12	Tcf3	693	0.0
Akap12	Tcf7	307	0.0
Akap12	Tgif1	156	1.1895332408573545E-4
Akap12	Zfp36l1	735	0.0
Akap6	Nfkb1	232	0.0
Akap6	Psmc3ip	189	1.0386125293138093E-10
Akap6	Tcf3	302	0.0
Akap6	Tgif1	510	0.0
Akap6	Zfp36l1	244	0.0
Akap7	Tcf7	201	1.5576429035490946E-13
Akt1	Epas1	210	7.771561172376096E-16
Akt1	Nfkb1	448	0.0
Akt1	Psmc3ip	147	0.0018002423278427049
Akt1	Tcf3	649	0.0
Akt1	Tgif1	310	0.0
Akt1	Zdhhc2	162	1.4848526926014571E-5
Akt1	Zfp36l1	148	0.0013640379951170845
Akt3	Epas1	148	0.0013640379951170845
Alk	Nfkb1	330	0.0
Alk	Psmc3ip	392	0.0
Alk	Tcf3	610	0.0
Alk	Tcf7	281	0.0
Alk	Tgif1	302	0.0
Alk	Zfp36l1	176	5.1770141729079455E-8
Amer2	Nfkb1	153	3.1073936805958713E-4
Amer2	Tgif1	153	3.1073936805958713E-4
Amer2	Zfp36l1	148	0.0013640379951170845
Amfr	Epas1	237	0.0
Amfr	Nfkb1	233	0.0
Amfr	Psmc3ip	164	7.081801022601475E-6
Amfr	Tcf3	411	0.0
Amfr	Tgif1	185	7.719400674233157E-10
Amfr	Zdhhc2	191	3.6941338876772534E-11
Amfr	Zfp36l1	303	0.0
Amot	Epas1	195	4.398370556657483E-12
Amotl1	Epas1	158	6.086820161643747E-5
Amotl1	Nfkb1	155	1.6481194314832415E-4
Amotl2	Nfkb1	622	0.0
Amotl2	Tcf3	320	0.0
Amotl2	Tcf7	509	0.0
Amotl2	Tgif1	212	2.220446049250313E-16
Amotl2	Zfp36l1	730	0.0
Ank1	Epas1	170	6.697008005929206E-7
Ank1	Nfkb1	203	4.9182879990894435E-14
Ank1	Psmc3ip	474	0.0
Ank1	Tcf3	219	0.0
Ank1	Tcf7	227	0.0
Ank1	Tgif1	450	0.0
Ank1	Zfp36l1	198	8.461009670668318E-13
Ank2	Nfkb1	196	2.5515145551935348E-12
Ank2	Psmc3ip	143	0.005133768582017084
