Modulator	TF	significantTriplets	pvalue
Ccl19	Tcf3	236	0.0
Ccr10	Epas1	197	1.4729328867701952E-12
Ccr2	Epas1	180	8.42281966395575E-9
Ccr2	Psmc3ip	186	4.711634415954791E-10
Ccr2	Tcf3	149	0.0010271846261774575
Ccr3	Epas1	160	3.0417907412982892E-5
Ccr3	Nfkb1	257	0.0
Ccr3	Tcf3	461	0.0
Ccr3	Tgif1	370	0.0
Ccr6	Epas1	183	2.039871049852593E-9
Ccr8	Tcf7	179	1.3369621076897431E-8
Cd109	Epas1	162	1.4848526926014571E-5
Cd109	Nfkb1	319	0.0
Cd109	Psmc3ip	141	0.008350802592771323
Cd109	Tcf3	498	0.0
Cd109	Tcf7	230	0.0
Cd109	Tgif1	277	0.0
Cd109	Zfp36l1	156	1.1895332408573545E-4
Cd14	Epas1	669	0.0
Cd14	Nfkb1	259	0.0
Cd14	Psmc3ip	242	0.0
Cd14	Tcf3	294	0.0
Cd14	Tcf7	160	3.0417907412982892E-5
Cd14	Tgif1	520	0.0
Cd14	Zfp36l1	152	4.228344153047736E-4
Cd151	Nfkb1	693	0.0
Cd151	Tcf3	818	0.0
Cd151	Tcf7	250	0.0
Cd151	Tgif1	322	0.0
Cd151	Zfp36l1	847	0.0
Cd24a	Nfkb1	249	0.0
Cd24a	Tcf3	193	1.2875478461182865E-11
Cd24a	Tcf7	315	0.0
Cd274	Epas1	335	0.0
Cd274	Nfkb1	251	0.0
Cd274	Psmc3ip	216	0.0
Cd274	Tcf3	240	0.0
Cd274	Tgif1	310	0.0
Cd274	Zfp36l1	405	0.0
Cd276	Epas1	222	0.0
Cd276	Tcf7	748	0.0
Cd2ap	Epas1	236	0.0
Cd2ap	Nfkb1	184	1.2581454766902311E-9
Cd2ap	Psmc3ip	188	1.7282086872683067E-10
Cd2ap	Tcf3	345	0.0
Cd2ap	Tcf7	285	0.0
Cd2ap	Tgif1	405	0.0
Cd2ap	Zfp36l1	203	4.9182879990894435E-14
Cd302	Tcf7	217	0.0
Cd302	Zdhhc2	142	0.006568155885549598
Cd302	Zfp36l1	148	0.0013640379951170845
Cd320	Epas1	320	0.0
Cd320	Nfkb1	155	1.6481194314832415E-4
Cd320	Psmc3ip	187	2.860919279257246E-10
Cd320	Tcf3	327	0.0
Cd320	Tcf7	184	1.2581454766902311E-9
Cd320	Tgif1	253	0.0
Cd320	Zfp36l1	147	0.0018002423278427049
Cd36	Tcf3	155	1.6481194314832415E-4
Cd36	Tcf7	213	1.1102230246251565E-16
Cd36	Tgif1	265	0.0
Cd37	Epas1	257	0.0
Cd37	Nfkb1	194	7.544187496932864E-12
Cd37	Tcf3	282	0.0
Cd37	Tcf7	269	0.0
Cd37	Tgif1	166	3.3006699013959917E-6
Cd3e	Epas1	402	0.0
Cd3e	Nfkb1	430	0.0
Cd3e	Tcf3	292	0.0
Cd40lg	Epas1	318	0.0
Cd40lg	Tcf3	251	0.0
Cd48	Epas1	162	1.4848526926014571E-5
Cd48	Nfkb1	690	0.0
Cd48	Tcf3	571	0.0
Cd48	Tgif1	212	2.220446049250313E-16
Cd48	Zfp36l1	345	0.0
Cd5	Nfkb1	170	6.697008005929206E-7
Cd53	Epas1	534	0.0
Cd53	Nfkb1	181	5.278091741445223E-9
Cd53	Tcf3	214	1.1102230246251565E-16
Cd53	Tcf7	422	0.0
Cd53	Tgif1	182	3.28994298470775E-9
Cd53	Zfp36l1	167	2.2341343067777686E-6
Cd59a	Epas1	187	2.860919279257246E-10
Cd63	Epas1	193	1.2875478461182865E-11
Cd63	Nfkb1	206	8.43769498715119E-15
Cd63	Psmc3ip	183	2.039871049852593E-9
Cd63	Tcf3	364	0.0
Cd63	Tcf7	705	0.0
Cd63	Tgif1	309	0.0
Cd63	Zfp36l1	328	0.0
Cd70	Nfkb1	358	0.0
Cd70	Tcf3	298	0.0
Cd70	Zfp36l1	268	0.0
Cd74	Tcf3	340	0.0
Cd74	Tgif1	399	0.0
Cd79a	Psmc3ip	147	0.0018002423278427049
Cd79b	Nfkb1	282	0.0
Cd79b	Psmc3ip	239	0.0
Cd79b	Tcf3	189	1.0386125293138093E-10
Cd79b	Tgif1	279	0.0
Cd79b	Zfp36l1	250	0.0
Cd80	Epas1	174	1.2423791595495004E-7
Cd80	Tcf7	196	2.5515145551935348E-12
Cd81	Epas1	156	1.1895332408573545E-4
Cd82	Tcf3	167	2.2341343067777686E-6
Cd82	Tgif1	153	3.1073936805958713E-4
Cd82	Zdhhc2	830	0.0
Cd83	Psmc3ip	163	1.0284176798491806E-5
Cd83	Tcf7	340	0.0
Cd83	Tgif1	199	4.836131495267182E-13
Cd86	Epas1	774	0.0
Cd86	Tcf7	163	1.0284176798491806E-5
Cd9	Nfkb1	289	0.0
Cd9	Tcf3	186	4.711634415954791E-10
Cd9	Zdhhc2	215	0.0
Cd9	Zfp36l1	433	0.0
Cdc37	Epas1	516	0.0
Cdc37	Nfkb1	457	0.0
Cdc37	Psmc3ip	146	0.0023613090385472546
Cdc37	Tcf3	393	0.0
Cdc37	Tcf7	522	0.0
Cdc42	Epas1	227	0.0
Cdc42	Nfkb1	781	0.0
Cdc42	Tcf3	307	0.0
Cdc42	Tcf7	162	1.4848526926014571E-5
Cdc42	Tgif1	288	0.0
Cdc42	Zdhhc2	152	4.228344153047736E-4
Cdc42	Zfp36l1	902	0.0
Cdc42bpb	Tcf7	176	5.1770141729079455E-8
Cdc42ep1	Nfkb1	163	1.0284176798491806E-5
Cdc42ep3	Nfkb1	580	0.0
Cdc42ep3	Tcf3	619	0.0
Cdc42ep3	Tcf7	324	0.0
Cdc42ep3	Zfp36l1	475	0.0
Cdc42ep4	Nfkb1	195	4.398370556657483E-12
Cdc42ep4	Psmc3ip	179	1.3369621076897431E-8
Cdc42ep4	Tcf3	242	0.0
Cdc42ep5	Epas1	153	3.1073936805958713E-4
Cdc42ep5	Tcf7	191	3.6941338876772534E-11
Cdc42se1	Tcf7	208	2.55351295663786E-15
Cdc42se2	Epas1	224	0.0
Cdc42se2	Nfkb1	266	0.0
Cdc42se2	Psmc3ip	179	1.3369621076897431E-8
Cdc42se2	Tcf3	220	0.0
Cdc42se2	Tcf7	222	0.0
Cdc42se2	Tgif1	207	4.6629367034256575E-15
Cdc42se2	Zdhhc2	235	0.0
Cdc42se2	Zfp36l1	198	8.461009670668318E-13
Cdh13	Nfkb1	441	0.0
Cdh13	Psmc3ip	304	0.0
Cdh13	Tcf3	644	0.0
Cdh13	Tcf7	265	0.0
Cdh13	Tgif1	526	0.0
Cdh13	Zdhhc2	160	3.0417907412982892E-5
Cdh13	Zfp36l1	437	0.0
Cdh17	Nfkb1	252	0.0
Cdh17	Tcf3	259	0.0
Cdh3	Tcf7	146	0.0023613090385472546
Cdh3	Zfp36l1	163	1.0284176798491806E-5
Cdh5	Tgif1	188	1.7282086872683067E-10
Cdk14	Tcf7	196	2.5515145551935348E-12
Cdk14	Tgif1	201	1.5576429035490946E-13
Cdk5	Nfkb1	474	0.0
Cdk5	Psmc3ip	211	4.440892098500626E-16
Cdk5	Tcf3	547	0.0
Cdk5	Tgif1	248	0.0
Cdk5	Zfp36l1	233	0.0
Cdk5r1	Tcf7	317	0.0
Ceacam1	Epas1	173	1.9088342018136473E-7
Ceacam1	Nfkb1	166	3.3006699013959917E-6
Ceacam1	Psmc3ip	142	0.006568155885549598
Ceacam1	Tcf3	265	0.0
Ceacam1	Tcf7	152	4.228344153047736E-4
Ceacam1	Tgif1	271	0.0
Ceacam1	Zfp36l1	232	0.0
Celsr1	Epas1	146	0.0023613090385472546
Celsr2	Epas1	852	0.0
Celsr2	Nfkb1	190	6.209965874859336E-11
Celsr2	Tcf3	229	0.0
Celsr2	Tcf7	246	0.0
Celsr3	Epas1	169	1.0063224256118275E-6
Celsr3	Tcf7	238	0.0
Cenpj	Nfkb1	571	0.0
Cenpj	Psmc3ip	185	7.719400674233157E-10
Cenpj	Tcf3	443	0.0
Cenpj	Tcf7	445	0.0
Cenpj	Tgif1	179	1.3369621076897431E-8
Cenpj	Zfp36l1	435	0.0
Cfc1	Epas1	187	2.860919279257246E-10
Cfc1	Nfkb1	202	8.770761894538737E-14
Cfc1	Tcf3	240	0.0
Cfl1	Tcf7	141	0.008350802592771323
Chp1	Tcf3	247	0.0
Chp1	Tgif1	147	0.0018002423278427049
Chrm1	Tcf3	154	2.269858821103421E-4
Chrm3	Tcf7	146	0.0023613090385472546
Chrm4	Nfkb1	182	3.28994298470775E-9
Chrm4	Tcf3	220	0.0
Chrna4	Epas1	147	0.0018002423278427049
Chrna4	Nfkb1	247	0.0
Chrna4	Psmc3ip	170	6.697008005929206E-7
Chrna4	Tcf3	333	0.0
Chrna4	Tgif1	401	0.0
Chrna4	Zfp36l1	307	0.0
Chrna6	Nfkb1	272	0.0
Chrnb1	Nfkb1	149	0.0010271846261774575
Chrnb2	Epas1	154	2.269858821103421E-4
Chrnb4	Tcf3	149	0.0010271846261774575
Chrne	Nfkb1	349	0.0
Chrne	Tcf3	446	0.0
Chrng	Epas1	245	0.0
Chrng	Nfkb1	240	0.0
Chuk	Epas1	166	3.3006699013959917E-6
Chuk	Tcf3	202	8.770761894538737E-14
Chuk	Tcf7	220	0.0
Cib1	Nfkb1	271	0.0
Cib1	Tcf3	219	0.0
Cish	Tcf3	303	0.0
Cish	Tcf7	200	2.751132655021138E-13
Cit	Tcf7	208	2.55351295663786E-15
Clasp2	Epas1	177	3.3146764555347374E-8
Clasp2	Zdhhc2	522	0.0
Clca3a2	Epas1	591	0.0
Clca3a2	Nfkb1	312	0.0
Clca3a2	Tcf3	277	0.0
Clca3a2	Tgif1	233	0.0
Clca3a2	Zfp36l1	245	0.0
Cldn18	Epas1	177	3.3146764555347374E-8
Cldn18	Tcf3	186	4.711634415954791E-10
Cldn5	Nfkb1	141	0.008350802592771323
Cldn5	Psmc3ip	184	1.2581454766902311E-9
Cldn5	Tcf3	159	4.3155750089285405E-5
Cldn5	Tgif1	197	1.4729328867701952E-12
Clec2i	Epas1	340	0.0
Clec4d	Epas1	148	0.0013640379951170845
Clec4d	Nfkb1	200	2.751132655021138E-13
Clec4d	Psmc3ip	292	0.0
Clec4d	Tcf3	217	0.0
Clec4d	Tcf7	259	0.0
Clec4d	Tgif1	168	1.503662832136321E-6
Cmklr1	Epas1	187	2.860919279257246E-10
Cmklr1	Nfkb1	927	0.0
Cmklr1	Tcf3	991	0.0
Cmklr1	Tgif1	415	0.0
Cmklr1	Zfp36l1	498	0.0
Cnih2	Nfkb1	188	1.7282086872683067E-10
Cnih2	Tcf3	352	0.0
Cnih2	Tcf7	143	0.005133768582017084
Cnih2	Tgif1	375	0.0
Cnih3	Nfkb1	573	0.0
Cnih3	Psmc3ip	284	0.0
Cnih3	Tcf3	460	0.0
Cnih3	Tcf7	304	0.0
Cnih3	Tgif1	405	0.0
Cnih3	Zfp36l1	151	5.718873964524196E-4
Cnksr2	Tgif1	210	7.771561172376096E-16
Cnksr2	Zfp36l1	201	1.5576429035490946E-13
Cnksr3	Nfkb1	566	0.0
Cnksr3	Tcf3	528	0.0
Cnksr3	Tcf7	181	5.278091741445223E-9
Cnksr3	Tgif1	327	0.0
Cnksr3	Zdhhc2	219	0.0
Cnksr3	Zfp36l1	500	0.0
Cnot2	Nfkb1	673	0.0
Cnot2	Psmc3ip	331	0.0
Cnot2	Tcf3	797	0.0
Cnot2	Tcf7	201	1.5576429035490946E-13
Cnot2	Tgif1	203	4.9182879990894435E-14
Cnot2	Zfp36l1	520	0.0
Cnr1	Epas1	243	0.0
Cnr1	Tcf7	240	0.0
Cnrip1	Tcf7	330	0.0
Cntn1	Nfkb1	311	0.0
Cntn1	Tcf3	286	0.0
Cntn1	Tgif1	319	0.0
Cntn6	Nfkb1	227	0.0
Cntn6	Tcf3	221	0.0
Coro1a	Nfkb1	244	0.0
Coro1a	Psmc3ip	270	0.0
Coro1a	Tcf3	265	0.0
Coro1a	Tcf7	283	0.0
Cpe	Epas1	286	0.0
Cpe	Nfkb1	241	0.0
Cpe	Psmc3ip	185	7.719400674233157E-10
Cpe	Zdhhc2	242	0.0
Cpeb4	Tcf7	218	0.0
Cpne1	Nfkb1	404	0.0
Cpne1	Tcf3	458	0.0
Cpne3	Tcf7	158	6.086820161643747E-5
Cpz	Epas1	269	0.0
Cpz	Nfkb1	177	3.3146764555347374E-8
Cpz	Tcf3	158	6.086820161643747E-5
Crb2	Nfkb1	302	0.0
Crb2	Tcf3	251	0.0
Crb2	Zfp36l1	181	5.278091741445223E-9
Crcp	Nfkb1	334	0.0
Crcp	Tcf3	202	8.770761894538737E-14
Crhr1	Nfkb1	144	0.003987619452512692
Crhr1	Psmc3ip	560	0.0
Crhr1	Tcf3	245	0.0
Crhr1	Tgif1	364	0.0
Crhr1	Zdhhc2	163	1.0284176798491806E-5
Crhr1	Zfp36l1	144	0.003987619452512692
Crhr2	Epas1	404	0.0
Crhr2	Tcf3	165	4.848611733110353E-6
Crhr2	Tcf7	211	4.440892098500626E-16
Crk	Zdhhc2	370	0.0
Crlf3	Epas1	288	0.0
Crlf3	Nfkb1	808	0.0
Crlf3	Psmc3ip	198	8.461009670668318E-13
Crlf3	Tcf3	353	0.0
Crlf3	Tcf7	154	2.269858821103421E-4
Crlf3	Tgif1	148	0.0013640379951170845
Crlf3	Zdhhc2	157	8.534409825400324E-5
Crlf3	Zfp36l1	421	0.0
Csf1	Epas1	261	0.0
Csf1	Nfkb1	782	0.0
Csf1	Psmc3ip	153	3.1073936805958713E-4
Csf1	Tcf3	831	0.0
Csf1	Tcf7	342	0.0
Csf1	Tgif1	314	0.0
Csf1	Zfp36l1	619	0.0
Csf1r	Nfkb1	222	0.0
Csf1r	Tcf3	168	1.503662832136321E-6
Csf1r	Tcf7	303	0.0
Csf1r	Tgif1	429	0.0
Csf1r	Zfp36l1	185	7.719400674233157E-10
Csf2ra	Tcf3	218	0.0
Csf2ra	Tgif1	148	0.0013640379951170845
Csf2rb2	Nfkb1	317	0.0
Csf2rb2	Tcf3	396	0.0
Csf2rb2	Tgif1	263	0.0
Csk	Epas1	184	1.2581454766902311E-9
Csk	Tcf7	174	1.2423791595495004E-7
Csnk1d	Nfkb1	154	2.269858821103421E-4
Csnk1d	Tcf3	170	6.697008005929206E-7
Csnk1d	Tgif1	293	0.0
Csnk2a2	Epas1	222	0.0
Csnk2a2	Nfkb1	276	0.0
Csnk2a2	Tcf3	339	0.0
Csnk2a2	Tcf7	301	0.0
Csnk2a2	Tgif1	200	2.751132655021138E-13
Csnk2a2	Zfp36l1	147	0.0018002423278427049
Csnk2b	Epas1	147	0.0018002423278427049
Csnk2b	Nfkb1	342	0.0
Csnk2b	Psmc3ip	224	0.0
Csnk2b	Tcf3	394	0.0
Csnk2b	Tgif1	367	0.0
Csnk2b	Zdhhc2	206	8.43769498715119E-15
Csnk2b	Zfp36l1	486	0.0
Cspg4	Epas1	275	0.0
Cspg4	Nfkb1	289	0.0
Cspg4	Tcf3	248	0.0
Cspg4	Tcf7	211	4.440892098500626E-16
Cspg4	Tgif1	156	1.1895332408573545E-4
Ctnna1	Nfkb1	361	0.0
Ctnna1	Tcf3	382	0.0
Ctnna1	Tcf7	233	0.0
Ctnna1	Tgif1	186	4.711634415954791E-10
Ctnna1	Zdhhc2	216	0.0
Ctnna1	Zfp36l1	353	0.0
Ctnnb1	Tcf7	148	0.0013640379951170845
Ctnnb1	Zfp36l1	209	1.3322676295501878E-15
Ctsg	Tcf3	234	0.0
Cx3cl1	Nfkb1	287	0.0
Cx3cl1	Psmc3ip	146	0.0023613090385472546
Cx3cl1	Tcf3	256	0.0
Cx3cl1	Tcf7	147	0.0018002423278427049
Cx3cl1	Tgif1	337	0.0
Cx3cl1	Zdhhc2	267	0.0
Cx3cr1	Epas1	164	7.081801022601475E-6
Cx3cr1	Tcf3	200	2.751132655021138E-13
Cx3cr1	Tcf7	160	3.0417907412982892E-5
Cx3cr1	Tgif1	168	1.503662832136321E-6
Cx3cr1	Zfp36l1	254	0.0
Cxcl10	Nfkb1	448	0.0
Cxcl10	Tcf3	433	0.0
Cxcl10	Tcf7	143	0.005133768582017084
Cxcl10	Tgif1	234	0.0
Cxcl10	Zfp36l1	224	0.0
Cxcl12	Nfkb1	401	0.0
Cxcl12	Tcf3	173	1.9088342018136473E-7
Cxcl12	Zfp36l1	156	1.1895332408573545E-4
Cxcr4	Tcf7	339	0.0
Cyba	Epas1	309	0.0
Cyba	Nfkb1	166	3.3006699013959917E-6
Cyba	Psmc3ip	183	2.039871049852593E-9
Cyba	Tcf3	256	0.0
Cyba	Tcf7	578	0.0
Cyba	Tgif1	273	0.0
Cyba	Zfp36l1	212	2.220446049250313E-16
Cyld	Nfkb1	199	4.836131495267182E-13
Cyld	Tcf3	276	0.0
Cyld	Tcf7	279	0.0
Cyld	Tgif1	210	7.771561172376096E-16
Cyld	Zdhhc2	183	2.039871049852593E-9
Cyld	Zfp36l1	153	3.1073936805958713E-4
Cysltr2	Nfkb1	238	0.0
Cysltr2	Tcf3	287	0.0
Cyth1	Epas1	180	8.42281966395575E-9
Cyth2	Nfkb1	266	0.0
Cyth2	Tcf3	349	0.0
Cyth2	Tcf7	145	0.00307810351166915
Cyth3	Nfkb1	617	0.0
Cyth3	Tcf3	245	0.0
Cyth3	Tgif1	187	2.860919279257246E-10
Cyth3	Zfp36l1	671	0.0
Cyth4	Nfkb1	293	0.0
Cyth4	Tcf3	222	0.0
Cyth4	Tgif1	409	0.0
Dab2	Nfkb1	935	0.0
Dab2	Tcf3	563	0.0
Dab2	Tcf7	173	1.9088342018136473E-7
Dab2	Tgif1	347	0.0
Dab2	Zfp36l1	175	8.041815569015398E-8
Dag1	Tcf3	151	5.718873964524196E-4
Dag1	Tcf7	269	0.0
Daglb	Tcf3	160	3.0417907412982892E-5
Dapk1	Epas1	179	1.3369621076897431E-8
Dapk1	Nfkb1	357	0.0
Dapk1	Psmc3ip	264	0.0
Dapk1	Tcf3	341	0.0
Dapk1	Tcf7	235	0.0
Dapk1	Tgif1	709	0.0
Dapk1	Zdhhc2	152	4.228344153047736E-4
Dapk1	Zfp36l1	154	2.269858821103421E-4
Dbn1	Nfkb1	441	0.0
Dbn1	Psmc3ip	231	0.0
Dbn1	Tcf3	286	0.0
Dbn1	Tcf7	141	0.008350802592771323
Dbn1	Tgif1	664	0.0
Dbn1	Zfp36l1	141	0.008350802592771323
Dcst1	Epas1	144	0.003987619452512692
Dcst1	Nfkb1	152	4.228344153047736E-4
Dcst1	Tcf3	152	4.228344153047736E-4
Dcst1	Tcf7	214	1.1102230246251565E-16
Dcst1	Zfp36l1	180	8.42281966395575E-9
Ddr1	Nfkb1	207	4.6629367034256575E-15
Ddr1	Tcf3	285	0.0
Ddr1	Zdhhc2	330	0.0
Ddr2	Nfkb1	167	2.2341343067777686E-6
Ddr2	Psmc3ip	166	3.3006699013959917E-6
Ddr2	Tcf3	249	0.0
Ddr2	Tcf7	179	1.3369621076897431E-8
Ddr2	Tgif1	296	0.0
Ddr2	Zfp36l1	219	0.0
Ddx58	Tcf7	164	7.081801022601475E-6
Ddx58	Tgif1	156	1.1895332408573545E-4
Dennd1a	Epas1	457	0.0
Dennd1a	Psmc3ip	181	5.278091741445223E-9
Dennd1a	Tcf3	268	0.0
Dennd1a	Tcf7	174	1.2423791595495004E-7
Dennd1a	Zfp36l1	152	4.228344153047736E-4
Dgka	Nfkb1	200	2.751132655021138E-13
Dgka	Psmc3ip	227	0.0
Dgka	Tcf7	360	0.0
Dgki	Nfkb1	363	0.0
Dgki	Psmc3ip	214	1.1102230246251565E-16
Dgki	Tcf3	388	0.0
Dgki	Tcf7	162	1.4848526926014571E-5
Dgki	Tgif1	334	0.0
Dgki	Zfp36l1	314	0.0
Dgkq	Tcf7	160	3.0417907412982892E-5
Dgkz	Nfkb1	172	2.916654073814584E-7
Dgkz	Psmc3ip	286	0.0
Dgkz	Tcf3	217	0.0
Dgkz	Tcf7	145	0.00307810351166915
Dgkz	Tgif1	148	0.0013640379951170845
Diablo	Epas1	148	0.0013640379951170845
Diablo	Nfkb1	261	0.0
Diablo	Psmc3ip	217	0.0
Diablo	Tcf3	450	0.0
Diablo	Tcf7	148	0.0013640379951170845
Diablo	Zfp36l1	286	0.0
Diras1	Nfkb1	250	0.0
Diras1	Psmc3ip	214	1.1102230246251565E-16
Diras1	Tcf3	346	0.0
Diras1	Tgif1	466	0.0
Diras1	Zdhhc2	187	2.860919279257246E-10
Diras1	Zfp36l1	216	0.0
Dlc1	Epas1	287	0.0
Dlc1	Nfkb1	197	1.4729328867701952E-12
Dlc1	Tcf3	240	0.0
Dlc1	Zfp36l1	183	2.039871049852593E-9
Dlg4	Nfkb1	165	4.848611733110353E-6
Dlk1	Psmc3ip	259	0.0
Dlk1	Tcf3	182	3.28994298470775E-9
Dlk1	Zdhhc2	165	4.848611733110353E-6
Dll4	Tcf7	179	1.3369621076897431E-8
Dmd	Tgif1	151	5.718873964524196E-4
Dmtn	Nfkb1	648	0.0
Dmtn	Psmc3ip	294	0.0
Dmtn	Tcf3	556	0.0
Dmtn	Tgif1	623	0.0
Dmtn	Zdhhc2	175	8.041815569015398E-8
Dmtn	Zfp36l1	272	0.0
Dnaja3	Epas1	554	0.0
Dner	Nfkb1	204	2.7422508708241367E-14
Dner	Tcf7	200	2.751132655021138E-13
Dner	Tgif1	285	0.0
Dnm2	Nfkb1	269	0.0
Dock4	Epas1	149	0.0010271846261774575
Dock4	Nfkb1	149	0.0010271846261774575
Dock4	Psmc3ip	143	0.005133768582017084
Dock4	Tcf3	713	0.0
Dock4	Tcf7	258	0.0
Dock4	Tgif1	166	3.3006699013959917E-6
Dock5	Tcf3	215	0.0
Dock5	Tgif1	216	0.0
Dock5	Zfp36l1	201	1.5576429035490946E-13
Dok3	Epas1	574	0.0
Dok3	Nfkb1	265	0.0
Dok3	Tcf3	196	2.5515145551935348E-12
Dok3	Tcf7	191	3.6941338876772534E-11
Drd1	Epas1	148	0.0013640379951170845
Drd1	Nfkb1	224	0.0
Drd1	Tcf3	374	0.0
Drd1	Tcf7	280	0.0
Drd1	Tgif1	149	0.0010271846261774575
Drd1	Zfp36l1	218	0.0
Drd2	Tcf7	168	1.503662832136321E-6
Drd3	Nfkb1	479	0.0
Drd3	Tcf3	697	0.0
Drd3	Zfp36l1	280	0.0
Drd4	Epas1	175	8.041815569015398E-8
Drd4	Nfkb1	605	0.0
Drd4	Tcf3	556	0.0
Drd4	Tgif1	301	0.0
Drd4	Zfp36l1	367	0.0
Dstyk	Epas1	236	0.0
Dstyk	Tcf7	176	5.1770141729079455E-8
Dtnbp1	Nfkb1	456	0.0
Dtnbp1	Psmc3ip	263	0.0
Dtnbp1	Tcf3	869	0.0
Dtnbp1	Tcf7	276	0.0
Dtnbp1	Tgif1	255	0.0
Dtnbp1	Zdhhc2	253	0.0
Dtnbp1	Zfp36l1	221	0.0
Dusp15	Epas1	245	0.0
Dusp15	Psmc3ip	164	7.081801022601475E-6
Dusp3	Epas1	215	0.0
Dvl1	Tcf3	203	4.9182879990894435E-14
Dvl1	Tcf7	157	8.534409825400324E-5
Dvl2	Nfkb1	554	0.0
Dvl2	Tcf3	587	0.0
Dvl2	Zfp36l1	514	0.0
Ece1	Nfkb1	179	1.3369621076897431E-8
Ece1	Tcf3	182	3.28994298470775E-9
Ece1	Tgif1	171	4.431930378245852E-7
Ece1	Zfp36l1	151	5.718873964524196E-4
Ecel1	Epas1	183	2.039871049852593E-9
Ecel1	Tcf3	271	0.0
Ect2	Epas1	320	0.0
Ect2	Nfkb1	757	0.0
Ect2	Tcf3	1016	0.0
Ect2	Tcf7	253	0.0
Ect2	Tgif1	412	0.0
Ect2	Zfp36l1	566	0.0
Eda	Epas1	385	0.0
Eda	Psmc3ip	153	3.1073936805958713E-4
Eda	Tcf3	230	0.0
Eda	Tcf7	354	0.0
Efna3	Epas1	161	2.131443263708732E-5
Efna3	Nfkb1	603	0.0
Efna3	Psmc3ip	573	0.0
Efna3	Tcf3	1248	0.0
Efna3	Tcf7	243	0.0
Efna3	Tgif1	1010	0.0
Efna3	Zfp36l1	191	3.6941338876772534E-11
Efna4	Epas1	338	0.0
Efna4	Nfkb1	453	0.0
Efna4	Tcf3	267	0.0
Efna4	Tcf7	373	0.0
Efna4	Zfp36l1	181	5.278091741445223E-9
Efna5	Nfkb1	325	0.0
Efna5	Psmc3ip	171	4.431930378245852E-7
Efna5	Tcf3	380	0.0
Efna5	Tcf7	331	0.0
Efna5	Tgif1	206	8.43769498715119E-15
Efna5	Zdhhc2	266	0.0
Efna5	Zfp36l1	354	0.0
Efnb1	Tgif1	151	5.718873964524196E-4
Efnb2	Nfkb1	203	4.9182879990894435E-14
Efnb2	Tcf3	179	1.3369621076897431E-8
Efnb2	Zfp36l1	209	1.3322676295501878E-15
Efnb3	Epas1	251	0.0
Efnb3	Nfkb1	567	0.0
Efnb3	Tcf3	473	0.0
Efnb3	Zfp36l1	270	0.0
Egf	Epas1	914	0.0
Elmo1	Nfkb1	172	2.916654073814584E-7
Elmo1	Zfp36l1	187	2.860919279257246E-10
Emp2	Epas1	504	0.0
Emp2	Nfkb1	441	0.0
Emp2	Tcf3	485	0.0
Emp2	Tgif1	229	0.0
Emp2	Zdhhc2	171	4.431930378245852E-7
Emp2	Zfp36l1	503	0.0
Enho	Psmc3ip	148	0.0013640379951170845
Enpp1	Epas1	261	0.0
Enpp1	Nfkb1	177	3.3146764555347374E-8
Enpp1	Psmc3ip	319	0.0
Enpp1	Tcf3	142	0.006568155885549598
Enpp1	Tcf7	299	0.0
Enpp1	Tgif1	312	0.0
Enpp1	Zdhhc2	145	0.00307810351166915
Enpp1	Zfp36l1	205	1.5210055437364645E-14
Entpd1	Epas1	323	0.0
Entpd1	Nfkb1	216	0.0
Entpd1	Psmc3ip	386	0.0
Entpd1	Tcf3	333	0.0
Entpd1	Tcf7	275	0.0
Entpd1	Zdhhc2	148	0.0013640379951170845
Entpd1	Zfp36l1	168	1.503662832136321E-6
Entpd2	Nfkb1	173	1.9088342018136473E-7
Entpd2	Tcf3	383	0.0
Entpd2	Tgif1	218	0.0
Epcam	Epas1	298	0.0
Epcam	Nfkb1	337	0.0
Epcam	Psmc3ip	178	2.1108174430573E-8
Epcam	Tcf3	262	0.0
Epcam	Tgif1	341	0.0
Epcam	Zfp36l1	240	0.0
Epgn	Nfkb1	571	0.0
Epgn	Tcf3	418	0.0
Epgn	Tgif1	143	0.005133768582017084
Epha1	Epas1	262	0.0
Epha1	Nfkb1	156	1.1895332408573545E-4
Epha1	Tcf7	174	1.2423791595495004E-7
Epha2	Psmc3ip	197	1.4729328867701952E-12
Epha2	Tcf7	410	0.0
Epha2	Tgif1	222	0.0
Epha2	Zfp36l1	160	3.0417907412982892E-5
Epha4	Nfkb1	228	0.0
Epha4	Psmc3ip	181	5.278091741445223E-9
Epha4	Tcf3	413	0.0
Epha4	Tcf7	182	3.28994298470775E-9
Epha4	Tgif1	268	0.0
Epha5	Nfkb1	155	1.6481194314832415E-4
Epha5	Psmc3ip	143	0.005133768582017084
Epha5	Tcf3	154	2.269858821103421E-4
Epha5	Tcf7	261	0.0
Ephb1	Psmc3ip	262	0.0
Ephb1	Tgif1	250	0.0
Ephb1	Zfp36l1	174	1.2423791595495004E-7
Ephb3	Nfkb1	575	0.0
Ephb3	Psmc3ip	209	1.3322676295501878E-15
Ephb3	Tcf3	573	0.0
Ephb3	Tcf7	153	3.1073936805958713E-4
Ephb4	Psmc3ip	226	0.0
Ephb4	Tcf3	177	3.3146764555347374E-8
Ephb4	Tgif1	530	0.0
Ephb6	Epas1	155	1.6481194314832415E-4
Ephb6	Nfkb1	317	0.0
Ephb6	Psmc3ip	229	0.0
Ephb6	Tcf3	436	0.0
