uniprotswissprot;entrezgene_id;symbol
Q9NPC1;56413;LTB4R2
Q86US8;23293;SMG6
P51572;10134;BCAP31
Q8NH76;196335;OR56B4
P10588;2063;NR2F6
Q96M63;93233;CCDC114
Q8N205;163183;SYNE4
Q15722;1241;LTB4R
P28161;2946;GSTM2
Q9UJ72;11199;ANXA10
Q6ZN08;7617;ZNF66
Q99519;4758;NEU1
Q9BYJ0;83888;FGFBP2
A2RRD8;162967;ZNF320
O75373;100129842;AC008554.1
P30511;3134;HLA-F
O95785;58525;WIZ
Q8N0Y3;283694;OR4N4
O00764;8566;PDXK
O00764;105372824;PDXK
Q14258;7706;TRIM25
Q13093;7941;PLA2G7
Q9NZL3;7767;ZNF224
Q86U38;161424;NOP9
Q8N412;285555;STPG2
Q8NGB6;390538;OR4M2
Q8N6Y0;83878;USHBP1
P54852;2014;EMP3
P14373;5987;TRIM27
Q86V24;79602;ADIPOR2
Q9UK10;7768;ZNF225
P52803;1946;EFNA5
Q6GPH6;150771;ITPRIPL1
Q9UFF9;9337;CNOT8
Q0P5P2;339210;C17orf67
Q9UKV5;267;AMFR
B6SEH8;147664;ERVV-1
Q8WWU5;6954;TCP11
Q8N1G1;57455;REXO1
Q14526;3090;HIC1
P15036;2114;ETS2
Q10472;2589;GALNT1
Q96N21;146705;TEPSIN
Q5VIY5;90333;ZNF468
Q5VIY5;162967;ZNF468
Q16653;4340;MOG
P52429;8526;DGKE
P24557;6916;TBXAS1
Q8NEJ9;25983;NGDN
O15347;3149;HMGB3
Q3KRA9;84964;ALKBH6
Q9H422;10114;HIPK3
Q8IZT8;222537;HS3ST5
Q5D1E8;80149;ZC3H12A
O14948;22797;TFEC
O75832;5716;PSMD10
Q06418;7301;TYRO3
Q0GE19;84068;SLC10A7
Q5XXA6;55107;ANO1
Q8N111;51286;CEND1
Q0VGE8;125893;ZNF816
Q96PX9;153478;PLEKHG4B
Q08AH3;123876;ACSM2A
Q16619;1489;CTF1
P17035;7576;ZNF28
Q7Z3B1;257194;NEGR1
Q99943;10554;AGPAT1
Q12837;5458;POU4F2
P01889;3106;HLA-B
P30480;3106;HLA-B
P30486;3106;HLA-B
Q29836;3106;HLA-B
Q31612;3106;HLA-B
Q31610;3106;HLA-B
A0A1W2PPG7;105372280;GNG14
P18065;3485;IGFBP2
Q5JNZ3;282890;ZNF311
Q92545;23505;TMEM131
P0CJ79;388559;ZNF888
P48201;518;ATP5MC3
Q8IV03;286343;LURAP1L
O15079;9751;SNPH
Q14324;4606;MYBPC2
Q9BQE5;23780;APOL2
Q5XUX1;84261;FBXW9
Q8TCC7;9376;SLC22A8
Q86XR5;145270;PRIMA1
Q8WVV5;10385;BTN2A2
Q6PCB7;376497;SLC27A1
P17643;7306;TYRP1
Q8WWX9;140606;SELENOM
A2A2V5;400120;SERTM1
Q96CM8;80221;ACSF2
P49754;27072;VPS41
Q9UHD1;26973;CHORDC1
P32245;4160;MC4R
Q9H4I0;642636;RAD21L1
Q9NY84;55350;VNN3
Q15036;9784;SNX17
Q6ZR85;100130311;C17orf107
Q9UPZ6;221981;THSD7A
P04440;3115;HLA-DPB1
Q8N9Y4;90050;FAM181A
Q99489;8528;DDO
Q9H2X6;28996;HIPK2
Q8WWC4;79568;MAIP1
O95336;25796;AC010618.1
Q6IF63;120787;OR52W1
O15335;1101;CHAD
P20036;3113;HLA-DPA1
Q92769;3066;HDAC2
Q6IQ21;54989;ZNF770
Q8NFZ3;22829;NLGN4Y
Q8N8E2;130557;ZNF513
Q8N5U0;160298;C11orf42
A2RUC4;129450;TYW5
P48549;3760;KCNJ3
Q6NSW7;388112;NANOGP8
O15533;6892;TAPBP
Q9NP92;10884;MRPS30
Q1W6H9;642273;FAM110C
Q9H3L0;27249;MMADHC
P00740;2158;F9
Q9NWV8;29086;BABAM1
P36383;10052;GJC1
Q92506;7923;HSD17B8
Q8N8R5;205327;C2orf69
Q9BTT4;84246;MED10
Q96MC2;92749;DRC1
P0C5K7;196993;CT62
Q8NA56;83894;TTC29
Q8NI29;126433;AC010605.1
Q6P996;23042;PDXDC1
Q9UGI8;26136;TES
Q9NQ36;57758;SCUBE2
Q32NC0;83608;C18orf21
P61158;10096;ACTR3
Q6ZMP0;79875;THSD4
Q96NH3;221322;TBC1D32
Q8N0V3;79863;RBFA
Q8WVP7;64327;LMBR1
Q6PML9;10463;SLC30A9
Q9HAU4;64750;SMURF2
P54257;9001;HAP1
Q9NP08;3166;HMX1
Q53H12;55750;AGK
Q13045;2314;FLII
Q9Y333;57819;LSM2
Q8N4C8;50488;MINK1
Q86TG7;23089;PEG10
Q9P035;51495;HACD3
Q7L8W6;89978;DPH6
P03372;2099;ESR1
Q96GE4;90799;CEP95
O75177;26039;SS18L1
A4D1U4;57189;KIAA1147
P10321;3107;HLA-C
Q8IY85;124989;EFCAB13
P00751;629;CFB
Q9GZT6;60492;CCDC90B
Q8NAG6;126549;ANKLE1
P51636;858;CAV2
P13747;3133;HLA-E
A6NDI0;283116;TRIM49B
P43630;3812;KIR3DL2
Q8TCN5;22847;ZNF507
Q008S8;345930;ECT2L
Q9NP81;54938;SARS2
Q9Y2E6;23220;DTX4
Q8N612;84067;FAM160A2
A1L167;134111;UBE2QL1
P62140;5500;PPP1CB
Q2M385;219972;MPEG1
Q6P5Q4;442721;LMOD2
Q8N4E7;94033;FTMT
Q9Y330;221527;ZBTB12
Q8NG31;57082;KNL1
P05106;3690;ITGB3
P07359;2811;GP1BA
P30838;218;ALDH3A1
O00401;8976;WASL
Q9GZY8;56947;MFF
O15235;6183;MRPS12
Q9Y536;653505;PPIAL4A
Q9ULC4;28985;MCTS1
Q15717;1994;ELAVL1
Q9BVS5;55006;TRMT61B
Q04844;1145;CHRNE
Q9UF56;64839;FBXL17
Q06587;6015;RING1
Q9UGR2;23264;ZC3H7B
Q96EF6;115290;FBXO17
Q12789;2975;GTF3C1
Q9NXH9;55621;TRMT1
A6NLI5;646754;TRIM64C
Q9BXK1;83855;KLF16
Q6P1K8;730394;GTF2H2C_2
Q32P44;256364;EML3
Q15334;3996;LLGL1
Q9UIV8;5275;SERPINB13
Q8WUT4;164312;LRRN4
Q2M3T9;23553;HYAL4
Q9BTE0;26151;NAT9
Q8N5Y2;10943;MSL3
Q5MJ70;245711;SPDYA
Q32P51;144983;HNRNPA1L2
P17844;1655;DDX5
Q7Z5B4;79608;RIC3
Q14676;9656;MDC1
Q5TF58;126917;IFFO2
Q9H0A6;140545;RNF32
A5PLL1;340120;ANKRD34B
Q13085;31;ACACA
Q14749;27232;GNMT
Q14749;107080644;GNMT
O60927;6992;PPP1R11
Q96RE7;112939;NACC1
P55196;4301;AFDN
A6NHZ5;389257;LRRC14B
Q9HCN3;58986;TMEM8A
O43586;9051;PSTPIP1
Q8TC27;203102;ADAM32
Q03395;6094;ROM1
Q9Y3N9;26692;OR2W1
Q8NHY6;140612;ZFP28
P13765;3112;HLA-DOB
P20813;1555;CYP2B6
Q495T6;79258;MMEL1
Q9H2S5;80352;RNF39
Q13608;5190;PEX6
Q15649;9326;ZNHIT3
O76000;442184;OR2B3
P10586;5792;PTPRF
O95436;10568;SLC34A2
Q01955;1285;COL4A3
Q16674;8190;MIA
P46060;5905;RANGAP1
Q96BQ5;133957;CCDC127
O94913;51585;PCF11
Q9H816;64858;DCLRE1B
Q7Z7B1;284098;PIGW
O76001;442186;OR2J3
Q13084;10573;MRPL28
P79522;80742;PRR3
Q96GS6;81926;ABHD17A
Q9UK39;25819;NOCT
P06681;717;C2
Q9BTX7;79183;TTPAL
Q9BV73;11190;CEP250
O00287;5994;RFXAP
Q13796;357;SHROOM2
O60443;1687;GSDME
Q16787;3909;LAMA3
Q14515;8404;SPARCL1
Q13585;9248;GPR50
P61018;53916;RAB4B
Q09MP3;729475;RAD51AP2
P50607;7275;TUB
Q15022;23512;SUZ12
P42285;23517;MTREX
Q8N9B4;338699;ANKRD42
Q9H4I9;91689;SMDT1
Q9Y663;9955;HS3ST3A1
Q8TBF2;127281;PRXL2B
Q9NTU7;140689;CBLN4
Q3ZAQ7;203547;VMA21
A6NGB9;644150;WIPF3
Q8NGK4;390036;OR52K1
O60741;348980;HCN1
Q96D70;91300;R3HDM4
Q9HBT6;28316;CDH20
P36915;2794;GNL1
Q15723;1998;ELF2
Q8NGK5;119772;OR52M1
O14669;5639;PRRG2
O14494;8611;PLPP1
Q8NEF9;153443;SRFBP1
