1	NTg	0	1
2	WT	0	1
3	Tg	0	1
4	NTg	0	2
5	WT	0	2
6	Tg	0	2
7	NTg	0	3
8	WT	0	3
9	Tg	0	3
10	NTg	0	4
11	WT	0	4
12	Tg	0	4
13	NTg	0	5
14	WT	0	5
15	Tg	0	5
16	NTg	0	6
17	WT	0	6
18	Tg	0	6
19	NTg	24	1
20	WT	24	1
21	Tg	24	1
22	NTg	24	2
23	WT	24	2
24	Tg	24	2
25	NTg	24	3
26	WT	24	3
27	Tg	24	3
28	NTg	24	4
29	WT	24	4
30	Tg	24	4
31	NTg	24	5
32	WT	24	5
33	Tg	24	5
34	NTg	24	6
35	WT	24	6
36	Tg	24	6
37	NTg	72	1
38	WT	72	1
39	Tg	72	1
40	NTg	72	2
41	WT	72	2
42	Tg	72	2
43	NTg	72	3
44	WT	72	3
45	Tg	72	3
46	NTg	72	4
47	WT	72	4
48	Tg	72	4
49	NTg	72	5
50	WT	72	5
51	Tg	72	5
52	NTg	72	6
53	WT	72	6
54	Tg	72	6
55	NTg	168	1
56	WT	168	1
57	Tg	168	1
58	NTg	168	2
59	WT	168	2
60	Tg	168	2
61	NTg	168	3
62	WT	168	3
63	Tg	168	3
64	NTg	168	4
65	WT	168	4
66	Tg	168	4
67	NTg	168	5
68	WT	168	5
69	Tg	168	5
70	NTg	168	6
71	WT	168	6
72	Tg	168	6
