p1,p2,pvalue
P05067,Q92835,0.08117379929907695
P61978,Q9H0M0,0.00908238313835826
P05067,O95185,0.059998025568882965
P05019,Q08881,0.009551310528653932
P05067,Q08722,0.1666913470556296
P61769,P46934,0.05397601066192803
P05019,P06703,0.005923293351103213
P05067,P30542,0.059306974677920926
P09382,P04216,0.0053803247939187525
P05067,Q92963,0.15908978725504713
P46108,O00254,0.011846586702206426
P05067,P08575,0.07019102621057308
P01034,P29474,0.0036033367885877883
P05067,P78356,0.10104151241423565
P05067,P07550,0.07505306283627029
P05067,O76036,0.01900389950145614
P09382,P35968,0.0013821017819240832
P05067,Q99928,0.08179080902315021
P05067,Q86VW2,0.05355644404955822
P05067,Q9UPW8,0.11377659311910755
P61769,Q15465,0.009575990917616862
P09382,P10586,0.00873685769287724
P19022,P29323,0.00883557924872896
Q15691,P35968,0.0128091218717607
P05067,Q9NZQ7,0.1154548595685868
P48444,Q9H4A6,0.006564983464139395
P05067,Q8WWN8,0.040870724122612175
P61978,P61106,0.024186781183671454
P46108,Q15438,0.0133027296510193
P05067,Q9HBX9,0.12113134903006072
P24593,P40189,0.0034552544548102078
P05067,Q9NP72,0.12110666864109779
P46108,Q7L0Q8,0.006639024631028185
P61769,Q9NR61,0.023841255738190435
P05067,Q9Y5X5,0.09679648551261168
P05067,O60260,0.001776988005330964
P05067,P35613,0.0848264968655906
P05067,Q15078,0.0014808233377758032
P46108,O14654,0.0052816032380670315
P61769,P08575,0.0034058936768843477
P05067,P34925,0.07658324695197197
P05067,P06213,0.06337923885680438
P19022,Q03113,6.170097240732514e-4
P05067,Q15822,0.09440248778320746
P30101,P51148,0.0069105089096204156
P61769,P11912,0.00441778962436448
P46108,P49758,0.05224838343452293
P46108,P40818,0.026062490744854137
P46108,Q86YS6,0.01722691149612518
P19022,Q13740,0.005503726738733402
P18065,P46934,0.020287279727528505
P48444,P62491,0.00920578508317291
P48444,P17252,0.043536206130608615
P23528,Q8TEW0,0.007971765635026409
P05067,Q15642,0.0594550570116985
P05067,P32246,0.07858235845796929
Q15691,Q15286,3.208450565180907e-4
P46108,Q15811,0.00851473419221087
P05067,P30556,0.050298632706451456
P05067,O15530,0.009798114418283233
P05067,P11229,0.09726541290290736
P01034,P05106,0.0015301841157016635
P52597,P04629,0.009995557529986673
P01034,P11362,0.00940322819487635
P01034,P10586,0.019077940668344933
P29279,P08648,3.702058344439508e-4
P61769,P50895,0.03751419122365369
P29279,P04216,0.010735969198874575
P05067,P54760,0.0036526975665136484
P19022,Q13418,0.008416012636359148
P04179,P15692,0.014882274544646823
P61769,P25942,0.0032824917320696976
Q15691,Q86YT6,0.0020237918949602644
P05019,Q8N5V2,0.0036280171775507184
P05067,P78423,0.11281405794955328
P05067,O75038,0.11666419862777037
P30101,P20339,0.007379436299916086
P05067,O14827,0.05047139542919196
P10147,P48023,0.009378547805913422
P23528,P11234,0.005503726738733402
P05067,Q9Y2W7,0.07453477466804877
P52597,P41743,0.01737499382990276
P05067,P08138,0.0015055037267387335
P05067,P46092,0.07221481810553335
P05067,Q14831,0.11856458857791599
P05067,Q8WU20,0.0491880152031196
P19022,P19022,0.00419566612369811
P05067,Q13255,0.1499333629498001
P05067,P10912,0.05121180709807987
P61978,P07948,3.208450565180907e-4
P46108,P34925,0.04306727874031295
P05067,O15068,0.04054987906609408
P01034,Q14957,0.006564983464139395
P46108,O43566,0.04412853546571894
P05067,Q9UBS5,0.05343304210474357
P05067,Q9NPF8,0.03178834098425391
P05067,P46940,0.13628510785329978
P05067,Q9BUZ4,0.06666173058887408
P05067,Q9Y5N1,0.054691741941853
P05067,Q9Y5Y3,0.12920183622093884
P05067,O14939,0.11584974579199368
P05067,P19022,0.03173898020632805
P61769,P32856,0.019028579890419072
P05067,Q7L0Q8,0.07273310627375487
P23528,Q7KZI7,0.004812675847771361
P19022,Q14344,8.88494002665482e-4
P46108,P49795,0.02305148329137667
P22392,P36897,0.012611678760057258
P61769,P19022,0.03758823239054247
P05067,Q04912,0.14588577915987955
P05067,P47900,0.05794955328495977
P29279,P36897,0.02154597956463794
P61769,Q8NET5,0.0038254602892541585
P05019,P07948,0.003479934843773138
P05067,P32239,0.0637988054691742
P05067,O14559,0.1722691149612518
P05067,Q7Z5R6,0.12964608322227159
P61978,Q08881,0.0014808233377758032
P04179,Q15399,0.0038254602892541585
P61769,O14492,0.007305395133027297
P05067,P78352,0.0013574213929611531
P61978,P36897,0.033787452490251245
P29279,Q07954,9.625351695542721e-4
P61769,P09693,0.01369761587442618
P61978,Q9NYI0,0.015523964657683005
P23528,P61586,0.00851473419221087
P19022,O15068,0.011624463201540057
P05067,Q01151,0.12278493509057703
P23528,O43166,0.019349424946937165
P05067,Q8NDX1,0.1712078582358458
P46108,Q14964,0.02579100646626191
P05067,Q05397,4.1956661236981096e-4
P05067,Q9H3W5,0.14655214966187868
P46108,P48551,0.0434374845747569
P48444,P20339,0.0028382447307369564
P07951,P17948,0.007453477466804877
P05067,Q8NGP9,0.11858926896687892
P05067,O14512,0.06527962880695
P29279,Q99075,0.003208450565180907
P46108,Q92737,0.04010563206476134
P05067,P41143,0.06172565279628807
P05067,P29317,0.010415124142356484
P46108,Q9Y6Q6,0.042697072905868994
P18065,P06239,0.02147193839774915
P48444,P46108,0.0038748210671800186
P05067,P31644,0.050224591539562664
P05067,Q9H0M0,0.08287674613751912
Q14767,Q01082,0.027469272915741152
P05067,P43115,0.15368478207216546
P05067,Q9NS86,0.02779011797225924
P58546,O60260,0.009872155585172022
P46108,O00560,0.011352978922947825
P05067,P21709,0.1021521299175675
P05067,P32247,0.04496766869045856
P61769,Q01113,0.023693173404412852
P46108,P51157,0.015696727380423516
P05067,O60353,0.08921960610099215
P46108,Q8TCU6,0.020756207117824176
P09382,P13591,0.0012833802260723629
P05067,Q15465,0.05279135199170739
P61769,Q9UQC2,0.01801668394293894
P05067,Q07954,0.0023446369514783555
P05019,Q9H6Q3,0.005034799348437731
P05067,P24530,0.14884742583543117
P19022,P98161,0.0223357520114517
P05067,Q8WV28,0.09790710301594353
P46108,Q9HB21,0.05079224048571006
P46108,O14966,0.01367293548546325
P05067,P22607,0.0883557924872896
P05067,P17787,0.037662273557431264
O14950,P30626,0.0012093390591835728
P61769,Q99928,0.01347549237375981
P23528,Q99835,0.014215904042647711
P05067,Q9H0F7,0.12888099116442076
P05067,Q9HAU4,0.10805074287970778
P05067,P35408,0.1350017276272274
P46108,Q9NP31,0.0033071721210326276
P61978,Q15283,0.010513845698208204
P05067,Q13002,0.04807739769978775
Q15691,P63146,0.00454119156917913
